Matt 8:1	⸂Καταβάντος δὲ αὐτοῦ⸃ ἀπὸ τοῦ ὄρους ἠκολούθησαν αὐτῷ ὄχλοι πολλοί. 
Matt 8:2	καὶ ἰδοὺ λεπρὸς ⸀προσελθὼν προσεκύνει αὐτῷ λέγων· Κύριε, ἐὰν θέλῃς δύνασαί με καθαρίσαι. 
Matt 8:3	καὶ ἐκτείνας τὴν χεῖρα ἥψατο ⸀αὐτοῦ λέγων· Θέλω, καθαρίσθητι· καὶ εὐθέως ἐκαθαρίσθη αὐτοῦ ἡ λέπρα. 
Matt 8:4	καὶ λέγει αὐτῷ ὁ Ἰησοῦς· Ὅρα μηδενὶ εἴπῃς, ἀλλὰ ὕπαγε σεαυτὸν δεῖξον τῷ ἱερεῖ, καὶ προσένεγκον τὸ δῶρον ὃ προσέταξεν Μωϋσῆς εἰς μαρτύριον αὐτοῖς. 
Matt 8:5	⸂Εἰσελθόντος δὲ αὐτοῦ⸃ εἰς Καφαρναοὺμ προσῆλθεν αὐτῷ ἑκατόνταρχος παρακαλῶν αὐτὸν 
Matt 8:6	καὶ λέγων· Κύριε, ὁ παῖς μου βέβληται ἐν τῇ οἰκίᾳ παραλυτικός, δεινῶς βασανιζόμενος. 
Matt 8:7	⸀καὶ λέγει ⸀αὐτῷ· Ἐγὼ ἐλθὼν θεραπεύσω αὐτόν. 
Matt 8:8	⸂καὶ ἀποκριθεὶς⸃ ὁ ἑκατόνταρχος ἔφη· Κύριε, οὐκ εἰμὶ ἱκανὸς ἵνα μου ὑπὸ τὴν στέγην εἰσέλθῃς· ἀλλὰ μόνον εἰπὲ λόγῳ, καὶ ἰαθήσεται ὁ παῖς μου· 
Matt 8:9	καὶ γὰρ ἐγὼ ἄνθρωπός εἰμι ὑπὸ ⸀ἐξουσίαν, ἔχων ὑπʼ ἐμαυτὸν στρατιώτας, καὶ λέγω τούτῳ· Πορεύθητι, καὶ πορεύεται, καὶ ἄλλῳ· Ἔρχου, καὶ ἔρχεται, καὶ τῷ δούλῳ μου· Ποίησον τοῦτο, καὶ ποιεῖ. 
Matt 8:10	ἀκούσας δὲ ὁ Ἰησοῦς ἐθαύμασεν καὶ εἶπεν τοῖς ἀκολουθοῦσιν· Ἀμὴν λέγω ὑμῖν, ⸂παρʼ οὐδενὶ τοσαύτην πίστιν ἐν τῷ Ἰσραὴλ⸃ εὗρον. 
Matt 8:11	λέγω δὲ ὑμῖν ὅτι πολλοὶ ἀπὸ ἀνατολῶν καὶ δυσμῶν ἥξουσιν καὶ ἀνακλιθήσονται μετὰ Ἀβραὰμ καὶ Ἰσαὰκ καὶ Ἰακὼβ ἐν τῇ βασιλείᾳ τῶν οὐρανῶν· 
Matt 8:12	οἱ δὲ υἱοὶ τῆς βασιλείας ἐκβληθήσονται εἰς τὸ σκότος τὸ ἐξώτερον· ἐκεῖ ἔσται ὁ κλαυθμὸς καὶ ὁ βρυγμὸς τῶν ὀδόντων. 
Matt 8:13	καὶ εἶπεν ὁ Ἰησοῦς τῷ ἑκατοντάρχῃ· Ὕπαγε, ⸀ὡς ἐπίστευσας γενηθήτω σοι· καὶ ἰάθη ὁ ⸀παῖς ἐν τῇ ὥρᾳ ἐκείνῃ. 
