Mark 7:1	Καὶ συνάγονται πρὸς αὐτὸν οἱ Φαρισαῖοι καί τινες τῶν γραμματέων ἐλθόντες ἀπὸ Ἱεροσολύμων 
Mark 7:2	καὶ ἰδόντες τινὰς τῶν μαθητῶν αὐτοῦ ⸂ὅτι κοιναῖς χερσίν, τοῦτʼ ἔστιν ἀνίπτοις, ἐσθίουσιν⸃ ⸀τοὺς ⸀ἄρτους— 
Mark 7:3	οἱ γὰρ Φαρισαῖοι καὶ πάντες οἱ Ἰουδαῖοι ἐὰν μὴ πυγμῇ νίψωνται τὰς χεῖρας οὐκ ἐσθίουσιν, κρατοῦντες τὴν παράδοσιν τῶν πρεσβυτέρων, 
Mark 7:4	καὶ ἀπʼ ⸀ἀγορᾶς ἐὰν μὴ ⸀βαπτίσωνται οὐκ ἐσθίουσιν, καὶ ἄλλα πολλά ἐστιν ἃ παρέλαβον κρατεῖν, βαπτισμοὺς ποτηρίων καὶ ξεστῶν καὶ χαλκίων ⸂καὶ κλινῶν⸃— 
Mark 7:5	⸀καὶ ἐπερωτῶσιν αὐτὸν οἱ Φαρισαῖοι καὶ οἱ γραμματεῖς· Διὰ τί ⸂οὐ περιπατοῦσιν οἱ μαθηταί σου⸃ κατὰ τὴν παράδοσιν τῶν πρεσβυτέρων, ἀλλὰ ⸀κοιναῖς χερσὶν ἐσθίουσιν τὸν ἄρτον; 
Mark 7:6	ὁ ⸀δὲ εἶπεν ⸀αὐτοῖς· Καλῶς ἐπροφήτευσεν Ἠσαΐας περὶ ὑμῶν τῶν ὑποκριτῶν, ὡς γέγραπται ⸀ὅτι Οὗτος ὁ λαὸς τοῖς χείλεσίν με τιμᾷ, ἡ δὲ καρδία αὐτῶν πόρρω ἀπέχει ἀπʼ ἐμοῦ· 
Mark 7:7	μάτην δὲ σέβονταί με, διδάσκοντες διδασκαλίας ἐντάλματα ἀνθρώπων· 
Mark 7:8	⸀ἀφέντες τὴν ἐντολὴν τοῦ θεοῦ κρατεῖτε τὴν παράδοσιν τῶν ⸀ἀνθρώπων. 
Mark 7:9	Καὶ ἔλεγεν αὐτοῖς· Καλῶς ἀθετεῖτε τὴν ἐντολὴν τοῦ θεοῦ, ἵνα τὴν παράδοσιν ὑμῶν ⸀τηρήσητε· 
Mark 7:10	Μωϋσῆς γὰρ εἶπεν· Τίμα τὸν πατέρα σου καὶ τὴν μητέρα σου, καί· Ὁ κακολογῶν πατέρα ἢ μητέρα θανάτῳ τελευτάτω· 
Mark 7:11	ὑμεῖς δὲ λέγετε· Ἐὰν εἴπῃ ἄνθρωπος τῷ πατρὶ ἢ τῇ μητρί· Κορβᾶν, ὅ ἐστιν Δῶρον, ὃ ἐὰν ἐξ ἐμοῦ ὠφεληθῇς, 
Mark 7:12	⸀οὐκέτι ἀφίετε αὐτὸν οὐδὲν ποιῆσαι τῷ ⸀πατρὶ ἢ τῇ ⸀μητρί, 
Mark 7:13	ἀκυροῦντες τὸν λόγον τοῦ θεοῦ τῇ παραδόσει ὑμῶν ᾗ παρεδώκατε· καὶ παρόμοια τοιαῦτα πολλὰ ποιεῖτε. 
Mark 7:14	Καὶ προσκαλεσάμενος ⸀πάλιν τὸν ὄχλον ἔλεγεν αὐτοῖς· ⸀Ἀκούσατέ μου πάντες καὶ ⸀σύνετε. 
Mark 7:15	οὐδέν ἐστιν ἔξωθεν τοῦ ἀνθρώπου εἰσπορευόμενον εἰς αὐτὸν ὃ δύναται ⸂κοινῶσαι αὐτόν⸃· ἀλλὰ τὰ ⸂ἐκ τοῦ ἀνθρώπου ἐκπορευόμενά⸃ ἐστιν τὰ κοινοῦντα τὸν ⸀ἄνθρωπον. 
Mark 7:17	Καὶ ὅτε εἰσῆλθεν ⸀εἰς οἶκον ἀπὸ τοῦ ὄχλου, ἐπηρώτων αὐτὸν οἱ μαθηταὶ αὐτοῦ ⸂τὴν παραβολήν⸃. 
Mark 7:18	καὶ λέγει αὐτοῖς· Οὕτως καὶ ὑμεῖς ἀσύνετοί ἐστε; οὐ νοεῖτε ὅτι πᾶν τὸ ἔξωθεν εἰσπορευόμενον εἰς τὸν ἄνθρωπον οὐ δύναται αὐτὸν κοινῶσαι, 
