Luke 24:1	τῇ δὲ μιᾷ τῶν σαββάτων ὄρθρου βαθέως ⸂ἐπὶ τὸ μνῆμα ἦλθον⸃ φέρουσαι ἃ ἡτοίμασαν ⸀ἀρώματα. 
Luke 24:2	εὗρον δὲ τὸν λίθον ἀποκεκυλισμένον ἀπὸ τοῦ μνημείου, 
Luke 24:3	⸂εἰσελθοῦσαι δὲ⸃ οὐχ εὗρον τὸ ⸀σῶμα. 
Luke 24:4	καὶ ἐγένετο ἐν τῷ ⸀ἀπορεῖσθαι αὐτὰς περὶ τούτου καὶ ἰδοὺ ἄνδρες δύο ἐπέστησαν αὐταῖς ἐν ⸂ἐσθῆτι ἀστραπτούσῃ⸃. 
Luke 24:5	ἐμφόβων δὲ γενομένων αὐτῶν καὶ κλινουσῶν ⸂τὰ πρόσωπα⸃ εἰς τὴν γῆν εἶπαν πρὸς αὐτάς· Τί ζητεῖτε τὸν ζῶντα μετὰ τῶν νεκρῶν; 
Luke 24:6	⸂οὐκ ἔστιν ὧδε, ἀλλὰ ἠγέρθη.⸃ μνήσθητε ὡς ἐλάλησεν ὑμῖν ἔτι ὢν ἐν τῇ Γαλιλαίᾳ, 
Luke 24:7	λέγων ⸂τὸν υἱὸν τοῦ ἀνθρώπου ὅτι δεῖ⸃ παραδοθῆναι εἰς χεῖρας ἀνθρώπων ἁμαρτωλῶν καὶ σταυρωθῆναι καὶ τῇ τρίτῃ ἡμέρᾳ ἀναστῆναι. 
Luke 24:8	καὶ ἐμνήσθησαν τῶν ῥημάτων αὐτοῦ, 
Luke 24:9	καὶ ὑποστρέψασαι ἀπὸ τοῦ μνημείου ἀπήγγειλαν ταῦτα πάντα τοῖς ἕνδεκα καὶ πᾶσιν τοῖς λοιποῖς. 
Luke 24:10	ἦσαν δὲ ἡ Μαγδαληνὴ Μαρία καὶ Ἰωάννα καὶ Μαρία ⸀ἡ Ἰακώβου καὶ αἱ λοιπαὶ σὺν αὐταῖς· ⸀ἔλεγον πρὸς τοὺς ἀποστόλους ταῦτα. 
Luke 24:11	καὶ ἐφάνησαν ἐνώπιον αὐτῶν ὡσεὶ λῆρος τὰ ῥήματα ⸀ταῦτα, καὶ ἠπίστουν αὐταῖς. 
Luke 24:12	⸂Ὁ δὲ Πέτρος ἀναστὰς ἔδραμεν ἐπὶ τὸ μνημεῖον· καὶ παρακύψας βλέπει τὰ ⸀ὀθόνια μόνα· καὶ ἀπῆλθεν πρὸς ⸀αὑτὸν θαυμάζων τὸ γεγονός.⸃ 
Luke 24:13	Καὶ ἰδοὺ δύο ἐξ αὐτῶν ⸂ἐν αὐτῇ τῇ ἡμέρᾳ ἦσαν πορευόμενοι⸃ εἰς κώμην ἀπέχουσαν σταδίους ἑξήκοντα ἀπὸ Ἰερουσαλήμ, ᾗ ὄνομα Ἐμμαοῦς, 
Luke 24:14	καὶ αὐτοὶ ὡμίλουν πρὸς ἀλλήλους περὶ πάντων τῶν συμβεβηκότων τούτων. 
Luke 24:15	καὶ ἐγένετο ἐν τῷ ὁμιλεῖν αὐτοὺς καὶ συζητεῖν καὶ ⸀αὐτὸς Ἰησοῦς ἐγγίσας συνεπορεύετο αὐτοῖς, 
Luke 24:16	οἱ δὲ ὀφθαλμοὶ αὐτῶν ἐκρατοῦντο τοῦ μὴ ἐπιγνῶναι αὐτόν. 
Luke 24:17	εἶπεν δὲ πρὸς αὐτούς· Τίνες οἱ λόγοι οὗτοι οὓς ἀντιβάλλετε πρὸς ἀλλήλους περιπατοῦντες; καὶ ⸀ἐστάθησαν σκυθρωποί. 
Luke 24:18	ἀποκριθεὶς δὲ ⸂εἷς ὀνόματι⸃ Κλεοπᾶς εἶπεν πρὸς αὐτόν· Σὺ μόνος παροικεῖς Ἰερουσαλὴμ καὶ οὐκ ἔγνως τὰ γενόμενα ἐν αὐτῇ ἐν ταῖς ἡμέραις ταύταις; 
Luke 24:19	καὶ εἶπεν αὐτοῖς· Ποῖα; οἱ δὲ εἶπαν αὐτῷ· Τὰ περὶ Ἰησοῦ τοῦ ⸀Ναζαρηνοῦ, ὃς ἐγένετο ἀνὴρ προφήτης δυνατὸς ἐν ἔργῳ καὶ λόγῳ ἐναντίον τοῦ θεοῦ καὶ παντὸς τοῦ λαοῦ, 
Luke 24:20	ὅπως τε παρέδωκαν αὐτὸν οἱ ἀρχιερεῖς καὶ οἱ ἄρχοντες ἡμῶν εἰς κρίμα θανάτου καὶ ἐσταύρωσαν αὐτόν. 
Luke 24:21	ἡμεῖς δὲ ἠλπίζομεν ὅτι αὐτός ἐστιν ὁ μέλλων λυτροῦσθαι τὸν Ἰσραήλ· ἀλλά γε ⸀καὶ σὺν πᾶσιν τούτοις τρίτην ταύτην ἡμέραν ⸀ἄγει ἀφʼ οὗ ταῦτα ἐγένετο. 
Luke 24:22	ἀλλὰ καὶ γυναῖκές τινες ἐξ ἡμῶν ἐξέστησαν ἡμᾶς, γενόμεναι ⸀ὀρθριναὶ ἐπὶ τὸ μνημεῖον 
Luke 24:23	καὶ μὴ εὑροῦσαι τὸ σῶμα αὐτοῦ ἦλθον λέγουσαι καὶ ὀπτασίαν ἀγγέλων ἑωρακέναι, οἳ λέγουσιν αὐτὸν ζῆν. 
Luke 24:24	καὶ ἀπῆλθόν τινες τῶν σὺν ἡμῖν ἐπὶ τὸ μνημεῖον, καὶ εὗρον οὕτως καθὼς ⸀καὶ αἱ γυναῖκες εἶπον, αὐτὸν δὲ οὐκ εἶδον. 
Luke 24:25	καὶ αὐτὸς εἶπεν πρὸς αὐτούς· Ὦ ἀνόητοι καὶ βραδεῖς τῇ καρδίᾳ τοῦ πιστεύειν ἐπὶ πᾶσιν οἷς ἐλάλησαν οἱ προφῆται· 
Luke 24:26	οὐχὶ ταῦτα ἔδει παθεῖν τὸν χριστὸν καὶ εἰσελθεῖν εἰς τὴν δόξαν αὐτοῦ; 
Luke 24:27	καὶ ἀρξάμενος ἀπὸ Μωϋσέως καὶ ἀπὸ πάντων τῶν προφητῶν ⸀διερμήνευσεν αὐτοῖς ἐν πάσαις ταῖς γραφαῖς τὰ περὶ ⸀ἑαυτοῦ. 
Luke 24:28	Καὶ ἤγγισαν εἰς τὴν κώμην οὗ ἐπορεύοντο, καὶ αὐτὸς ⸀προσεποιήσατο ⸀πορρώτερον πορεύεσθαι. 
Luke 24:29	καὶ παρεβιάσαντο αὐτὸν λέγοντες· Μεῖνον μεθʼ ἡμῶν, ὅτι πρὸς ἑσπέραν ἐστὶν καὶ κέκλικεν ⸀ἤδη ἡ ἡμέρα. καὶ εἰσῆλθεν τοῦ μεῖναι σὺν αὐτοῖς. 
Luke 24:30	καὶ ἐγένετο ἐν τῷ κατακλιθῆναι αὐτὸν μετʼ αὐτῶν λαβὼν τὸν ἄρτον εὐλόγησεν καὶ κλάσας ἐπεδίδου αὐτοῖς· 
Luke 24:31	αὐτῶν δὲ διηνοίχθησαν οἱ ὀφθαλμοὶ καὶ ἐπέγνωσαν αὐτόν· καὶ αὐτὸς ἄφαντος ἐγένετο ἀπʼ αὐτῶν. 
Luke 24:32	καὶ εἶπαν πρὸς ἀλλήλους· Οὐχὶ ἡ καρδία ἡμῶν καιομένη ἦν ⸂ἐν ἡμῖν⸃ ὡς ἐλάλει ἡμῖν ἐν τῇ ὁδῷ, ⸀ὡς διήνοιγεν ἡμῖν τὰς γραφάς; 
Luke 24:33	καὶ ἀναστάντες αὐτῇ τῇ ὥρᾳ ὑπέστρεψαν εἰς Ἰερουσαλήμ, καὶ εὗρον ⸀ἠθροισμένους τοὺς ἕνδεκα καὶ τοὺς σὺν αὐτοῖς, 
Luke 24:34	λέγοντας ὅτι ⸂ὄντως ἠγέρθη ὁ κύριος⸃ καὶ ὤφθη Σίμωνι. 
Luke 24:35	καὶ αὐτοὶ ἐξηγοῦντο τὰ ἐν τῇ ὁδῷ καὶ ὡς ἐγνώσθη αὐτοῖς ἐν τῇ κλάσει τοῦ ἄρτου. 
Luke 24:36	Ταῦτα δὲ αὐτῶν λαλούντων ⸀αὐτὸς ἔστη ἐν μέσῳ ⸀αὐτῶν. 
Luke 24:37	πτοηθέντες δὲ καὶ ἔμφοβοι γενόμενοι ἐδόκουν πνεῦμα θεωρεῖν. 
Luke 24:38	καὶ εἶπεν αὐτοῖς· Τί τεταραγμένοι ἐστέ, καὶ διὰ τί διαλογισμοὶ ἀναβαίνουσιν ἐν ⸂τῇ καρδίᾳ⸃ ὑμῶν; 
Luke 24:39	ἴδετε τὰς χεῖράς μου καὶ τοὺς πόδας μου ὅτι ⸂ἐγώ εἰμι αὐτός⸃· ψηλαφήσατέ με καὶ ἴδετε, ὅτι πνεῦμα σάρκα καὶ ὀστέα οὐκ ἔχει καθὼς ἐμὲ θεωρεῖτε ἔχοντα. 
Luke 24:40	⸂[καὶ τοῦτο εἰπὼν ⸀ἔδειξεν αὐτοῖς τὰς χεῖρας καὶ τοὺς πόδας.]⸃ 
Luke 24:41	ἔτι δὲ ἀπιστούντων αὐτῶν ἀπὸ τῆς χαρᾶς καὶ θαυμαζόντων εἶπεν αὐτοῖς· Ἔχετέ τι βρώσιμον ἐνθάδε; 
Luke 24:42	οἱ δὲ ἐπέδωκαν αὐτῷ ἰχθύος ὀπτοῦ ⸀μέρος· 
Luke 24:43	καὶ λαβὼν ἐνώπιον αὐτῶν ἔφαγεν. 
Luke 24:44	Εἶπεν δὲ ⸂πρὸς αὐτούς⸃· Οὗτοι οἱ λόγοι ⸀μου οὓς ἐλάλησα πρὸς ὑμᾶς ἔτι ὢν σὺν ὑμῖν, ὅτι δεῖ πληρωθῆναι πάντα τὰ γεγραμμένα ἐν τῷ νόμῳ Μωϋσέως ⸀καὶ προφήταις καὶ ψαλμοῖς περὶ ἐμοῦ. 
Luke 24:45	τότε διήνοιξεν αὐτῶν τὸν νοῦν τοῦ συνιέναι τὰς γραφάς, 
Luke 24:46	καὶ εἶπεν αὐτοῖς ὅτι οὕτως ⸀γέγραπται παθεῖν τὸν χριστὸν καὶ ἀναστῆναι ἐκ νεκρῶν τῇ τρίτῃ ἡμέρᾳ, 
Luke 24:47	καὶ κηρυχθῆναι ἐπὶ τῷ ὀνόματι αὐτοῦ μετάνοιαν ⸀καὶ ἄφεσιν ἁμαρτιῶν εἰς πάντα τὰ ἔθνη— ⸀ἀρξάμενοι ἀπὸ Ἰερουσαλήμ· 
Luke 24:48	ὑμεῖς ⸀ἐστε μάρτυρες τούτων. 
Luke 24:49	καὶ ἰδοὺ ἐγὼ ⸀ἐξαποστέλλω τὴν ἐπαγγελίαν τοῦ πατρός μου ἐφʼ ὑμᾶς· ὑμεῖς δὲ καθίσατε ἐν τῇ ⸀πόλει ἕως οὗ ἐνδύσησθε ⸂ἐξ ὕψους δύναμιν⸃. 
Luke 24:50	Ἐξήγαγεν δὲ αὐτοὺς ⸀ἕως ⸀πρὸς Βηθανίαν, καὶ ἐπάρας τὰς χεῖρας αὐτοῦ εὐλόγησεν αὐτούς. 
Luke 24:51	καὶ ἐγένετο ἐν τῷ εὐλογεῖν αὐτὸν αὐτοὺς διέστη ἀπʼ αὐτῶν ⸂[καὶ ἀνεφέρετο εἰς τὸν οὐρανόν]⸃. 
Luke 24:52	καὶ αὐτοὶ ⸂[προσκυνήσαντες αὐτὸν]⸃ ὑπέστρεψαν εἰς Ἰερουσαλὴμ μετὰ χαρᾶς μεγάλης, 
Luke 24:53	καὶ ἦσαν διὰ παντὸς ἐν τῷ ἱερῷ ⸀εὐλογοῦντες τὸν ⸀θεόν. 
