John 5:1	Μετὰ ταῦτα ⸀ἦν ἑορτὴ τῶν Ἰουδαίων, καὶ ⸀ἀνέβη Ἰησοῦς εἰς Ἱεροσόλυμα. 
John 5:2	ἔστιν δὲ ἐν τοῖς Ἱεροσολύμοις ἐπὶ τῇ προβατικῇ κολυμβήθρα ἡ ἐπιλεγομένη Ἑβραϊστὶ ⸀Βηθεσδά, πέντε στοὰς ἔχουσα· 
John 5:3	ἐν ταύταις κατέκειτο ⸀πλῆθος τῶν ἀσθενούντων, τυφλῶν, χωλῶν, ⸀ξηρῶν. 
John 5:5	ἦν δέ τις ἄνθρωπος ἐκεῖ ⸀τριάκοντα ὀκτὼ ἔτη ἔχων ἐν τῇ ἀσθενείᾳ ⸀αὐτοῦ· 
John 5:6	τοῦτον ἰδὼν ὁ Ἰησοῦς κατακείμενον, καὶ γνοὺς ὅτι πολὺν ἤδη χρόνον ἔχει, λέγει αὐτῷ· Θέλεις ὑγιὴς γενέσθαι; 
John 5:7	ἀπεκρίθη αὐτῷ ὁ ἀσθενῶν· Κύριε, ἄνθρωπον οὐκ ἔχω ἵνα ὅταν ταραχθῇ τὸ ὕδωρ βάλῃ με εἰς τὴν κολυμβήθραν· ἐν ᾧ δὲ ἔρχομαι ἐγὼ ἄλλος πρὸ ἐμοῦ καταβαίνει. 
John 5:8	λέγει αὐτῷ ὁ Ἰησοῦς· ⸀Ἔγειρε ἆρον τὸν κράβαττόν σου καὶ περιπάτει. 
John 5:9	καὶ εὐθέως ἐγένετο ὑγιὴς ὁ ἄνθρωπος καὶ ἦρε τὸν κράβαττον αὐτοῦ καὶ περιεπάτει. Ἦν δὲ σάββατον ἐν ἐκείνῃ τῇ ἡμέρᾳ. 
John 5:10	ἔλεγον οὖν οἱ Ἰουδαῖοι τῷ τεθεραπευμένῳ· Σάββατόν ἐστιν, ⸀καὶ οὐκ ἔξεστίν σοι ἆραι τὸν ⸀κράβαττον. 
John 5:11	⸂ὃς δὲ⸃ ἀπεκρίθη αὐτοῖς· Ὁ ποιήσας με ὑγιῆ ἐκεῖνός μοι εἶπεν Ἆρον τὸν κράβαττόν σου καὶ περιπάτει. 
John 5:12	ἠρώτησαν ⸀οὖν αὐτόν· Τίς ἐστιν ὁ ἄνθρωπος ὁ εἰπών σοι· ⸀Ἆρον καὶ περιπάτει; 
