John 14:1	Μὴ ταρασσέσθω ὑμῶν ἡ καρδία· πιστεύετε εἰς τὸν θεόν, καὶ εἰς ἐμὲ πιστεύετε. 
John 14:2	ἐν τῇ οἰκίᾳ τοῦ πατρός μου μοναὶ πολλαί εἰσιν· εἰ δὲ μή, εἶπον ἂν ὑμῖν ⸀ὅτι πορεύομαι ἑτοιμάσαι τόπον ὑμῖν· 
John 14:3	καὶ ἐὰν πορευθῶ ⸀καὶ ἑτοιμάσω ⸂τόπον ὑμῖν⸃, πάλιν ἔρχομαι καὶ παραλήμψομαι ὑμᾶς πρὸς ἐμαυτόν, ἵνα ὅπου εἰμὶ ἐγὼ καὶ ὑμεῖς ἦτε. 
John 14:4	καὶ ὅπου ἐγὼ ὑπάγω οἴδατε ⸂τὴν ὁδόν⸃. 
John 14:5	λέγει αὐτῷ Θωμᾶς· Κύριε, οὐκ οἴδαμεν ποῦ ὑπάγεις· ⸀πῶς ⸂δυνάμεθα τὴν ὁδὸν εἰδέναι⸃; 
John 14:6	λέγει αὐτῷ ⸀ὁ Ἰησοῦς· Ἐγώ εἰμι ἡ ὁδὸς καὶ ἡ ἀλήθεια καὶ ἡ ζωή· οὐδεὶς ἔρχεται πρὸς τὸν πατέρα εἰ μὴ διʼ ἐμοῦ. 
John 14:7	εἰ ⸀ἐγνώκειτέ με, καὶ τὸν πατέρα μου ⸂ἂν ᾔδειτε⸃· ⸀ἀπʼ ἄρτι γινώσκετε αὐτὸν καὶ ἑωράκατε ⸀αὐτόν. 
John 14:8	Λέγει αὐτῷ Φίλιππος· Κύριε, δεῖξον ἡμῖν τὸν πατέρα, καὶ ἀρκεῖ ἡμῖν. 
John 14:9	λέγει αὐτῷ ὁ Ἰησοῦς· ⸂Τοσούτῳ χρόνῳ⸃ μεθʼ ὑμῶν εἰμι καὶ οὐκ ἔγνωκάς με, Φίλιππε; ὁ ἑωρακὼς ἐμὲ ἑώρακεν τὸν πατέρα· ⸀πῶς σὺ λέγεις· Δεῖξον ἡμῖν τὸν πατέρα; 
John 14:10	οὐ πιστεύεις ὅτι ἐγὼ ἐν τῷ πατρὶ καὶ ὁ πατὴρ ἐν ἐμοί ἐστιν; τὰ ῥήματα ἃ ἐγὼ ⸀λέγω ὑμῖν ἀπʼ ἐμαυτοῦ οὐ λαλῶ, ὁ δὲ ⸀πατὴρ ἐν ἐμοὶ ⸀μένων ποιεῖ τὰ ἔργα ⸀αὐτοῦ. 
John 14:11	πιστεύετέ μοι ὅτι ἐγὼ ἐν τῷ πατρὶ καὶ ὁ πατὴρ ἐν ἐμοί· εἰ δὲ μή, διὰ τὰ ἔργα αὐτὰ ⸀πιστεύετε. 
John 14:12	ἀμὴν ἀμὴν λέγω ὑμῖν, ὁ πιστεύων εἰς ἐμὲ τὰ ἔργα ἃ ἐγὼ ποιῶ κἀκεῖνος ποιήσει, καὶ μείζονα τούτων ποιήσει, ὅτι ἐγὼ πρὸς τὸν ⸀πατέρα πορεύομαι· 
John 14:13	καὶ ὅ τι ἂν αἰτήσητε ἐν τῷ ὀνόματί μου τοῦτο ποιήσω, ἵνα δοξασθῇ ὁ πατὴρ ἐν τῷ υἱῷ· 
John 14:14	ἐάν τι αἰτήσητέ ⸀με ἐν τῷ ὀνόματί μου ⸀ἐγὼ ποιήσω. 
