Col 3:1	Εἰ οὖν συνηγέρθητε τῷ Χριστῷ, τὰ ἄνω ζητεῖτε, οὗ ὁ Χριστός ἐστιν ἐν δεξιᾷ τοῦ θεοῦ καθήμενος· 
Col 3:2	τὰ ἄνω φρονεῖτε, μὴ τὰ ἐπὶ τῆς γῆς, 
Col 3:3	ἀπεθάνετε γάρ, καὶ ἡ ζωὴ ὑμῶν κέκρυπται σὺν τῷ Χριστῷ ἐν τῷ θεῷ· 
Col 3:4	ὅταν ὁ Χριστὸς φανερωθῇ, ἡ ζωὴ ⸀ὑμῶν, τότε καὶ ὑμεῖς σὺν αὐτῷ φανερωθήσεσθε ἐν δόξῃ. 
Col 3:5	Νεκρώσατε οὖν τὰ ⸀μέλη τὰ ἐπὶ τῆς γῆς, πορνείαν, ἀκαθαρσίαν, πάθος, ἐπιθυμίαν κακήν, καὶ τὴν πλεονεξίαν ἥτις ἐστὶν εἰδωλολατρία, 
Col 3:6	διʼ ἃ ἔρχεται ἡ ὀργὴ τοῦ θεοῦ ⸂ἐπὶ τοὺς υἱοὺς τῆς ἀπειθείας⸃· 
Col 3:7	ἐν οἷς καὶ ὑμεῖς περιεπατήσατέ ποτε ὅτε ἐζῆτε ἐν ⸀τούτοις· 
Col 3:8	νυνὶ δὲ ἀπόθεσθε καὶ ὑμεῖς τὰ πάντα, ὀργήν, θυμόν, κακίαν, βλασφημίαν, αἰσχρολογίαν ἐκ τοῦ στόματος ὑμῶν· 
Col 3:9	μὴ ψεύδεσθε εἰς ἀλλήλους· ἀπεκδυσάμενοι τὸν παλαιὸν ἄνθρωπον σὺν ταῖς πράξεσιν αὐτοῦ, 
Col 3:10	καὶ ἐνδυσάμενοι τὸν νέον τὸν ἀνακαινούμενον εἰς ἐπίγνωσιν κατʼ εἰκόνα τοῦ κτίσαντος αὐτόν, 
Col 3:11	ὅπου οὐκ ἔνι Ἕλλην καὶ Ἰουδαῖος, περιτομὴ καὶ ἀκροβυστία, βάρβαρος, Σκύθης, δοῦλος, ἐλεύθερος, ἀλλὰ ⸀τὰ πάντα καὶ ἐν πᾶσιν Χριστός. 
Col 3:12	Ἐνδύσασθε οὖν ὡς ἐκλεκτοὶ τοῦ θεοῦ, ἅγιοι καὶ ἠγαπημένοι, σπλάγχνα οἰκτιρμοῦ, χρηστότητα, ταπεινοφροσύνην, πραΰτητα, μακροθυμίαν, 
Col 3:13	ἀνεχόμενοι ἀλλήλων καὶ χαριζόμενοι ἑαυτοῖς ἐάν τις πρός τινα ἔχῃ μομφήν· καθὼς καὶ ὁ ⸀κύριος ἐχαρίσατο ὑμῖν οὕτως καὶ ὑμεῖς· 
Col 3:14	ἐπὶ πᾶσιν δὲ τούτοις τὴν ἀγάπην, ⸀ὅ ἐστιν σύνδεσμος τῆς τελειότητος. 
Col 3:15	καὶ ἡ εἰρήνη τοῦ ⸀Χριστοῦ βραβευέτω ἐν ταῖς καρδίαις ὑμῶν, εἰς ἣν καὶ ἐκλήθητε ἐν ἑνὶ σώματι· καὶ εὐχάριστοι γίνεσθε. 
Col 3:16	ὁ λόγος τοῦ Χριστοῦ ἐνοικείτω ἐν ὑμῖν πλουσίως ἐν πάσῃ σοφίᾳ· διδάσκοντες καὶ νουθετοῦντες ἑαυτοὺς ⸀ψαλμοῖς, ⸀ὕμνοις, ᾠδαῖς πνευματικαῖς ⸀ἐν χάριτι, ᾄδοντες ἐν ⸂ταῖς καρδίαις⸃ ὑμῶν τῷ ⸀θεῷ· 
Col 3:17	καὶ πᾶν ⸂ὅ τι⸃ ⸀ἐὰν ποιῆτε ἐν λόγῳ ἢ ἐν ἔργῳ, πάντα ἐν ὀνόματι κυρίου Ἰησοῦ, εὐχαριστοῦντες τῷ ⸀θεῷ πατρὶ διʼ αὐτοῦ. 
Col 3:18	Αἱ γυναῖκες, ὑποτάσσεσθε ⸀τοῖς ἀνδράσιν, ὡς ἀνῆκεν ἐν κυρίῳ. 
Col 3:19	οἱ ἄνδρες, ἀγαπᾶτε τὰς γυναῖκας καὶ μὴ πικραίνεσθε πρὸς αὐτάς. 
Col 3:20	Τὰ τέκνα, ὑπακούετε τοῖς γονεῦσιν κατὰ πάντα, τοῦτο γὰρ ⸂εὐάρεστόν ἐστιν⸃ ἐν κυρίῳ. 
Col 3:21	οἱ πατέρες, μὴ ἐρεθίζετε τὰ τέκνα ὑμῶν, ἵνα μὴ ἀθυμῶσιν. 
Col 3:22	οἱ δοῦλοι, ὑπακούετε κατὰ πάντα τοῖς κατὰ σάρκα κυρίοις, μὴ ἐν ⸀ὀφθαλμοδουλίαις, ὡς ἀνθρωπάρεσκοι, ἀλλʼ ἐν ἁπλότητι καρδίας, φοβούμενοι τὸν ⸀κύριον. 
Col 3:23	⸀ὃ ἐὰν ποιῆτε, ἐκ ψυχῆς ἐργάζεσθε, ὡς τῷ κυρίῳ καὶ οὐκ ἀνθρώποις, 
Col 3:24	εἰδότες ὅτι ἀπὸ κυρίου ⸀ἀπολήμψεσθε τὴν ἀνταπόδοσιν τῆς κληρονομίας· ⸀τῷ κυρίῳ Χριστῷ δουλεύετε· 
Col 3:25	ὁ ⸀γὰρ ἀδικῶν κομίσεται ὃ ἠδίκησεν, καὶ οὐκ ἔστιν προσωπολημψία. 
